nuclides,reactions,groups,xs
Xe136,"(n,gamma)",35,0.0007885126790300255
Xe136,"(n,gamma)",36,0.0011027838031626017
Xe136,"(n,gamma)",37,0.0008959015229210747
Xe136,"(n,gamma)",38,0.0003874785285604331
Xe136,"(n,gamma)",39,0.00016068301445675402
Xe136,"(n,gamma)",40,9.456614653326857e-05
Xe136,fission,1,0.0
Xe136,fission,2,0.0
Xe136,fission,3,0.0
Xe136,fission,4,0.0
Xe136,fission,5,0.0
Xe136,fission,6,0.0
Xe136,fission,7,0.0
Xe136,fission,8,0.0
Xe136,fission,9,0.0
Xe136,fission,10,0.0
Xe136,fission,11,0.0
Xe136,fission,12,0.0
Xe136,fission,13,0.0
Xe136,fission,14,0.0
Xe136,fission,15,0.0
Xe136,fission,16,0.0
Xe136,fission,17,0.0
Xe136,fission,18,0.0
Xe136,fission,19,0.0
Xe136,fission,20,0.0
Xe136,fission,21,0.0
Xe136,fission,22,0.0
Xe136,fission,23,0.0
Xe136,fission,24,0.0
Xe136,fission,25,0.0
Xe136,fission,26,0.0
Xe136,fission,27,0.0
Xe136,fission,28,0.0
Xe136,fission,29,0.0
Xe136,fission,30,0.0
Xe136,fission,31,0.0
Xe136,fission,32,0.0
Xe136,fission,33,0.0
Xe136,fission,34,0.0
Xe136,fission,35,0.0
Xe136,fission,36,0.0
Xe136,fission,37,0.0
Xe136,fission,38,0.0
Xe136,fission,39,0.0
Xe136,fission,40,0.0
Cs135,"(n,gamma)",1,14.756898491449432
Cs135,"(n,gamma)",2,9.243565461053091
Cs135,"(n,gamma)",3,7.2670837036998215
Cs135,"(n,gamma)",4,6.151092512182371
Cs135,"(n,gamma)",5,5.236273898923493
Cs135,"(n,gamma)",6,4.552161797502353
Cs135,"(n,gamma)",7,3.942074278564703
Cs135,"(n,gamma)",8,3.3700567410261235
Cs135,"(n,gamma)",9,2.984460798575486
Cs135,"(n,gamma)",10,2.6446645468041807
Cs135,"(n,gamma)",11,2.3174257211173437
Cs135,"(n,gamma)",12,1.842385506703542
Cs135,"(n,gamma)",13,1.4033872063704431
Cs135,"(n,gamma)",14,1.219873354817018
Cs135,"(n,gamma)",15,1.1673746174497828
Cs135,"(n,gamma)",16,1.1392788346176572
Cs135,"(n,gamma)",17,1.0915983436699719
Cs135,"(n,gamma)",18,1.0482816222146616
Cs135,"(n,gamma)",19,0.9869977698436522
Cs135,"(n,gamma)",20,0.8959099125189441
Cs135,"(n,gamma)",21,0.7845522988993587
Cs135,"(n,gamma)",22,0.6856519079183807
Cs135,"(n,gamma)",23,0.5976073417722222
Cs135,"(n,gamma)",24,0.49248019627882456
Cs135,"(n,gamma)",25,0.40328271413995365
Cs135,"(n,gamma)",26,0.25129994710495435
Cs135,"(n,gamma)",27,0.1419643745441682
Cs135,"(n,gamma)",28,0.16463204046130828
Cs135,"(n,gamma)",29,60.69453673559199
Cs135,"(n,gamma)",30,0.6073513650574102
Cs135,"(n,gamma)",31,3.877482450042991
Cs135,"(n,gamma)",32,0.4717863497309826
Cs135,"(n,gamma)",33,0.20111368030811927
Cs135,"(n,gamma)",34,0.06223944107470865
Cs135,"(n,gamma)",35,0.0411018788042642
Cs135,"(n,gamma)",36,0.036575948453019515
Cs135,"(n,gamma)",37,0.022539896105117516
Cs135,"(n,gamma)",38,0.010650182007235049
Cs135,"(n,gamma)",39,0.00353276822432002
Cs135,"(n,gamma)",40,0.0009286628242658698
Cs135,fission,1,0.0
Cs135,fission,2,0.0
Cs135,fission,3,0.0
Cs135,fission,4,0.0
Cs135,fission,5,0.0
Cs135,fission,6,0.0
Cs135,fission,7,0.0
Cs135,fission,8,0.0
Cs135,fission,9,0.0
Cs135,fission,10,0.0
Cs135,fission,11,0.0
Cs135,fission,12,0.0
Cs135,fission,13,0.0
Cs135,fission,14,0.0
Cs135,fission,15,0.0
Cs135,fission,16,0.0
Cs135,fission,17,0.0
Cs135,fission,18,0.0
Cs135,fission,19,0.0
Cs135,fission,20,0.0
Cs135,fission,21,0.0
Cs135,fission,22,0.0
Cs135,fission,23,0.0
Cs135,fission,24,0.0
Cs135,fission,25,0.0
Cs135,fission,26,0.0
Cs135,fission,27,0.0
Cs135,fission,28,0.0
Cs135,fission,29,0.0
Cs135,fission,30,0.0
Cs135,fission,31,0.0
Cs135,fission,32,0.0
Cs135,fission,33,0.0
Cs135,fission,34,0.0
Cs135,fission,35,0.0
Cs135,fission,36,0.0
Cs135,fission,37,0.0
Cs135,fission,38,0.0
Cs135,fission,39,0.0
Cs135,fission,40,0.0
Gd157,"(n,gamma)",1,374920.7314590052
Gd157,"(n,gamma)",2,264492.21556918375
Gd157,"(n,gamma)",3,211191.7007552839
Gd157,"(n,gamma)",4,161247.16948564962
Gd157,"(n,gamma)",5,106115.89292432292
Gd157,"(n,gamma)",6,63709.398445998355
Gd157,"(n,gamma)",7,34248.60539434473
Gd157,"(n,gamma)",8,16019.199514568358
Gd157,"(n,gamma)",9,8789.164948664396
Gd157,"(n,gamma)",10,4901.87096892954
Gd157,"(n,gamma)",11,2609.5827860239474
Gd157,"(n,gamma)",12,983.2429913503813
Gd157,"(n,gamma)",13,296.3008495706511
Gd157,"(n,gamma)",14,168.80709089404132
Gd157,"(n,gamma)",15,142.84065600110193
Gd157,"(n,gamma)",16,130.74010650628045
Gd157,"(n,gamma)",17,112.13317204381143
Gd157,"(n,gamma)",18,97.22724860920134
Gd157,"(n,gamma)",19,79.40788388517531
Gd157,"(n,gamma)",20,58.24655273621269
Gd157,"(n,gamma)",21,40.348848779505104
Gd157,"(n,gamma)",22,31.433262266032227
Gd157,"(n,gamma)",23,47.03731301850143
Gd157,"(n,gamma)",24,444.44931500370154
Gd157,"(n,gamma)",25,13.61596025936162
Gd157,"(n,gamma)",26,2.9679995751596566
Gd157,"(n,gamma)",27,5.616691942245703
Gd157,"(n,gamma)",28,269.66292655007976
Gd157,"(n,gamma)",29,27.354165709921766
Gd157,"(n,gamma)",30,85.72531963265904
Gd157,"(n,gamma)",31,15.090924249197906
Gd157,"(n,gamma)",32,3.4061132923117112
Gd157,"(n,gamma)",33,1.405490949808503
Gd157,"(n,gamma)",34,0.3118375239367714
Gd157,"(n,gamma)",35,0.17005993187932564
Gd157,"(n,gamma)",36,0.115633172931726
Gd157,"(n,gamma)",37,0.057337424008023975
Gd157,"(n,gamma)",38,0.022036168759174763
Gd157,"(n,gamma)",39,0.005449457509128992
Gd157,"(n,gamma)",40,0.001494517255294066
Gd157,fission,1,0.0
Gd157,fission,2,0.0
Gd157,fission,3,0.0
Gd157,fission,4,0.0
Gd157,fission,5,0.0
Gd157,fission,6,0.0
Gd157,fission,7,0.0
Gd157,fission,8,0.0
Gd157,fission,9,0.0
Gd157,fission,10,0.0
Gd157,fission,11,0.0
Gd157,fission,12,0.0
Gd157,fission,13,0.0
Gd157,fission,14,0.0
Gd157,fission,15,0.0
Gd157,fission,16,0.0
Gd157,fission,17,0.0
Gd157,fission,18,0.0
Gd157,fission,19,0.0
Gd157,fission,20,0.0
Gd157,fission,21,0.0
Gd157,fission,22,0.0
Gd157,fission,23,0.0
Gd157,fission,24,0.0
Gd157,fission,25,0.0
Gd157,fission,26,0.0
Gd157,fission,27,0.0
Gd157,fission,28,0.0
Gd157,fission,29,0.0
Gd157,fission,30,0.0
Gd157,fission,31,0.0
Gd157,fission,32,0.0
Gd157,fission,33,0.0
Gd157,fission,34,0.0
