nuclides,reactions,groups,xs
B10,"(n,a)",6,71.87325328583292
B10,"(n,a)",7,2.0905254991812257
B10,"(n,a)",8,0.2991569732889445
B10,"(n,3n)",1,0.0
B10,"(n,3n)",2,0.0
B10,"(n,3n)",3,0.0
B10,"(n,3n)",4,0.0
B10,"(n,3n)",5,0.0
B10,"(n,3n)",6,0.0
B10,"(n,3n)",7,0.0
B10,"(n,3n)",8,0.0
B10,"(n,4n)",1,0.0
B10,"(n,4n)",2,0.0
B10,"(n,4n)",3,0.0
B10,"(n,4n)",4,0.0
B10,"(n,4n)",5,0.0
B10,"(n,4n)",6,0.0
B10,"(n,4n)",7,0.0
B10,"(n,4n)",8,0.0
B10,fission,1,0.0
B10,fission,2,0.0
B10,fission,3,0.0
B10,fission,4,0.0
B10,fission,5,0.0
B10,fission,6,0.0
B10,fission,7,0.0
B10,fission,8,0.0
B11,"(n,gamma)",1,0.005307305628359261
B11,"(n,gamma)",2,0.0029715973925004435
B11,"(n,gamma)",3,0.0020000792890545603
B11,"(n,gamma)",4,0.0013593083821882585
B11,"(n,gamma)",5,0.000724370690855074
B11,"(n,gamma)",6,0.00010360478165206961
B11,"(n,gamma)",7,3.661859643749887e-05
B11,"(n,gamma)",8,1.6527356539334954e-06
B11,"(n,2n)",1,0.0
B11,"(n,2n)",2,0.0
B11,"(n,2n)",3,0.0
B11,"(n,2n)",4,0.0
B11,"(n,2n)",5,0.0
B11,"(n,2n)",6,0.0
B11,"(n,2n)",7,0.0
B11,"(n,2n)",8,3.5166510092454238e-06
B11,"(n,p)",1,0.0
B11,"(n,p)",2,0.0
B11,"(n,p)",3,0.0
B11,"(n,p)",4,0.0
B11,"(n,p)",5,0.0
B11,"(n,p)",6,0.0
B11,"(n,p)",7,0.0
B11,"(n,p)",8,1.2294935925676816e-06
B11,"(n,a)",1,0.0
B11,"(n,a)",2,0.0
B11,"(n,a)",3,0.0
B11,"(n,a)",4,0.0
B11,"(n,a)",5,0.0
B11,"(n,a)",6,0.0
B11,"(n,a)",7,0.0
B11,"(n,a)",8,6.381839517315748e-05
B11,"(n,3n)",1,0.0
B11,"(n,3n)",2,0.0
B11,"(n,3n)",3,0.0
B11,"(n,3n)",4,0.0
B11,"(n,3n)",5,0.0
B11,"(n,3n)",6,0.0
B11,"(n,3n)",7,0.0
B11,"(n,3n)",8,0.0
B11,"(n,4n)",1,0.0
B11,"(n,4n)",2,0.0
B11,"(n,4n)",3,0.0
B11,"(n,4n)",4,0.0
B11,"(n,4n)",5,0.0
B11,"(n,4n)",6,0.0
B11,"(n,4n)",7,0.0
B11,"(n,4n)",8,0.0
B11,fission,1,0.0
B11,fission,2,0.0
B11,fission,3,0.0
B11,fission,4,0.0
B11,fission,5,0.0
B11,fission,6,0.0
B11,fission,7,0.0
B11,fission,8,0.0
N14,"(n,gamma)",1,0.0722638046228722
N14,"(n,gamma)",2,0.040438042481965204
